dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:g3,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,4946.602
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:g4,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,4988.515
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:gc3,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,6085.972
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:gc4,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,6025.641
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:m22,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5096.558
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:mc,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5674.030
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pysat:mgh,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,5306.110
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w8.cnf,pycryptosat,1,type id = Real ; procedure id ( ) type id = record end ; begin konšt_boolean and id = id < id or not konšt_char := konšt_boolean - id + konšt_boolean / konšt_real + id mod id - konšt_char ; end,42,positive,180,324,95,229,2988629,162540,2826089,8640808,35974,8478267,126567,ok,SAT,3569.653
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w9.cnf,pysat:g3,1,type id = id ; procedure id ( ) type id = Boolean ; var begin konšt_char := id or konšt_boolean <= konšt_boolean mod - konšt_real and konšt_real < konšt_char - konšt_real or konšt_int * konšt_real * - - id <= konšt_char * konšt_char ; end,46,positive,180,324,95,229,3907815,194580,3713235,11334286,42436,11139705,152145,ok,SAT,6954.109
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w9.cnf,pysat:g4,1,type id = id ; procedure id ( ) type id = Boolean ; var begin konšt_char := id or konšt_boolean <= konšt_boolean mod - konšt_real and konšt_real < konšt_char - konšt_real or konšt_int * konšt_real * - - id <= konšt_char * konšt_char ; end,46,positive,180,324,95,229,3907815,194580,3713235,11334286,42436,11139705,152145,ok,SAT,7481.290
